********************************************************

Date : 2012/10/04 11:33:08

Parameters:

Speed : 50.0
Alpha : 1.0
X size : 600.0
N of ants : 200.0
Y size : 600.0
N of keys : 50.0
N of items : 500.0
Kd : 1.0E-4
Sigma : 10.0
Kp : 0.0010
Data:

********************************************************

Tick 	Pearson	Entropy	
0	-0.002805066670789751	6.061217206929865	
1	-6.481327034499664E-4	6.000176556268397	
2	-2.678603444898687E-5	5.987051101185911	
3	6.068152120807093E-5	5.978803678505499	
4	3.0653833095590957E-4	5.986686559550809	
5	-2.969661795084553E-4	5.987107192943179	
6	-8.813664662524936E-4	5.982186237482668	
7	-3.125518880031939E-4	5.987107192943179	
8	-9.846811642598289E-4	5.978028233324663	
9	-2.7998959177479856E-4	5.987107192943179	
10	6.0397045711541484E-5	5.978028233324663	
11	6.0397045711541484E-5	5.978028233324663	
12	6.0397045711541484E-5	5.978028233324663	
13	6.0397045711541484E-5	5.978028233324663	
14	6.0397045711541484E-5	5.978028233324663	
15	6.0397045711541484E-5	5.978028233324663	
16	6.0397045711541484E-5	5.978028233324663	
17	6.0397045711541484E-5	5.978028233324663	
18	6.0397045711541484E-5	5.978028233324663	
19	6.0397045711541484E-5	5.978028233324663	
20	6.0397045711541484E-5	5.978028233324663	
21	6.0397045711541484E-5	5.978028233324663	
22	6.0397045711541484E-5	5.978028233324663	
23	6.0397045711541484E-5	5.978028233324663	
24	6.0397045711541484E-5	5.978028233324663	
25	6.0397045711541484E-5	5.978028233324663	
26	6.0397045711541484E-5	5.978028233324663	
27	6.0397045711541484E-5	5.978028233324663	
28	6.0397045711541484E-5	5.978028233324663	
29	6.0397045711541484E-5	5.978028233324663	
30	6.0397045711541484E-5	5.978028233324663	
31	6.0397045711541484E-5	5.978028233324663	
32	6.0397045711541484E-5	5.978028233324663	
33	6.0397045711541484E-5	5.978028233324663	
34	6.0397045711541484E-5	5.978028233324663	
35	6.0397045711541484E-5	5.978028233324663	
36	6.0397045711541484E-5	5.978028233324663	
37	6.0397045711541484E-5	5.978028233324663	
38	6.0397045711541484E-5	5.978028233324663	
39	6.0397045711541484E-5	5.978028233324663	
40	6.0397045711541484E-5	5.978028233324663	
41	6.0397045711541484E-5	5.978028233324663	
42	6.0397045711541484E-5	5.978028233324663	
43	6.0397045711541484E-5	5.978028233324663	
44	6.0397045711541484E-5	5.978028233324663	
45	6.0397045711541484E-5	5.978028233324663	
46	6.0397045711541484E-5	5.978028233324663	
47	6.0397045711541484E-5	5.978028233324663	
48	6.0397045711541484E-5	5.978028233324663	
49	6.0397045711541484E-5	5.978028233324663	
50	6.0397045711541484E-5	5.978028233324663	
51	6.0397045711541484E-5	5.978028233324663	
52	6.0397045711541484E-5	5.978028233324663	
53	6.0397045711541484E-5	5.978028233324663	
54	6.0397045711541484E-5	5.978028233324663	
55	6.0397045711541484E-5	5.978028233324663	
56	6.0397045711541484E-5	5.978028233324663	
57	6.0397045711541484E-5	5.978028233324663	
58	6.0397045711541484E-5	5.978028233324663	
59	6.0397045711541484E-5	5.978028233324663	
60	6.0397045711541484E-5	5.978028233324663	
61	6.0397045711541484E-5	5.978028233324663	
62	6.0397045711541484E-5	5.978028233324663	
63	6.0397045711541484E-5	5.978028233324663	
64	6.0397045711541484E-5	5.978028233324663	
65	6.0397045711541484E-5	5.978028233324663	
66	6.0397045711541484E-5	5.978028233324663	
67	6.0397045711541484E-5	5.978028233324663	
68	6.0397045711541484E-5	5.978028233324663	
69	6.0397045711541484E-5	5.978028233324663	
70	6.0397045711541484E-5	5.978028233324663	
71	6.0397045711541484E-5	5.978028233324663	
72	6.0397045711541484E-5	5.978028233324663	
73	6.0397045711541484E-5	5.978028233324663	
74	6.0397045711541484E-5	5.978028233324663	
75	6.0397045711541484E-5	5.978028233324663	
76	6.0397045711541484E-5	5.978028233324663	
77	6.0397045711541484E-5	5.978028233324663	
78	6.0397045711541484E-5	5.978028233324663	
79	6.0397045711541484E-5	5.978028233324663	
80	6.0397045711541484E-5	5.978028233324663	
81	6.0397045711541484E-5	5.978028233324663	
82	6.0397045711541484E-5	5.978028233324663	
83	6.0397045711541484E-5	5.978028233324663	
84	6.0397045711541484E-5	5.978028233324663	
85	6.0397045711541484E-5	5.978028233324663	
86	6.0397045711541484E-5	5.978028233324663	
87	6.0397045711541484E-5	5.978028233324663	
88	6.0397045711541484E-5	5.978028233324663	
89	6.0397045711541484E-5	5.978028233324663	
90	6.0397045711541484E-5	5.978028233324663	
91	6.0397045711541484E-5	5.978028233324663	
92	6.0397045711541484E-5	5.978028233324663	
93	6.0397045711541484E-5	5.978028233324663	
94	6.0397045711541484E-5	5.978028233324663	
95	6.0397045711541484E-5	5.978028233324663	
96	6.0397045711541484E-5	5.978028233324663	
97	6.0397045711541484E-5	5.978028233324663	
98	6.0397045711541484E-5	5.978028233324663	
99	6.0397045711541484E-5	5.978028233324663	
100	-0.0023208195391796046	8.744592096235047	
101	-0.00487612955922582	8.098221379410294	
102	-0.0025866140862035626	8.105687679638953	
103	0.0010804351867619015	7.931801879413633	
104	-0.002328456021743377	7.881016143265058	
105	0.003322511656578046	7.83886996972056	
106	0.003994046343907723	7.801859142397554	
107	0.007982117562624732	7.788273872033735	
108	0.0051288945591924226	7.768450301325749	
109	0.00591408496468432	7.744124280516326	
110	0.004562162194108288	7.716789221769266	
111	0.005969109624387658	7.693113618785158	
112	0.00580096283254767	7.685319557927136	
113	0.005768120951952276	7.672070903308542	
114	0.005534555101886325	7.670820260692208	
115	0.006145857060187139	7.681193047355441	
116	0.005647344088688347	7.663825125177173	
117	0.005869823152393081	7.691902093181374	
118	0.006912079544860441	7.66789225391313	
119	0.00628179682697725	7.672108575958093	
120	0.0059917905998444635	7.67992438882792	
121	0.005787097841793669	7.677420920758215	
122	0.006158064452576045	7.673257722161252	
123	0.005635202050594778	7.670778322098067	
124	0.005545935276629556	7.664074763820707	
125	0.005550796357220401	7.6707519757544915	
126	0.005535234959441795	7.664074763820707	
127	0.005536802899950795	7.6587598147098515	
128	0.0063984900294196834	7.652115296437427	
129	0.004942688890065492	7.645580837083373	
130	0.004468894511959794	7.644074763820705	
131	0.004413524097934488	7.638826259892577	
132	0.004519395480890062	7.632042628905915	
133	0.004593848202571574	7.638826259892577	
134	0.004640161702534996	7.644074763820705	
135	0.004590601262647713	7.638826259892577	
136	0.004550466035510714	7.632042628905915	
137	0.004550466035510714	7.632042628905915	
138	0.004550466035510714	7.632042628905915	
